,target,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height,eye2eye_dist,Reye2nose_dist,Leye2nose_dist,nose2mouse_dist,Reye2mouse_dist,Leye2mouse_dist
0,1,1.0628930817610063,1.0,0.7672955974842768,0.36477987421383645,0.1320754716981132,0.39622641509433965,0.03773584905660377,0.2138364779874214,0.3081761006289308,0.18238993710691823,0.050314465408805034,0.18867924528301888,0.05660377358490566,0.42138364779874216,0.20125786163522014,0.48747980984784944,0.2758547966844804,0.30380973104539616,0.3409655948776817,0.5521781062434835,0.5554586858309647
1,1,1.04,1.0,0.84,0.376,0.112,0.392,0.056,0.208,0.36,0.192,0.056,0.2,0.056,0.384,0.12,0.49206503635190335,0.3141971457854974,0.3216720582929448,0.3070054079227712,0.5613079645890579,0.5682768965135844
2,1,1.0303030303030303,1.0,0.8484848484848485,0.36363636363636365,0.07878787878787878,0.3696969696969697,0.03636363636363636,0.20606060606060606,0.3696969696969697,0.20606060606060606,0.07272727272727272,0.20606060606060606,0.07272727272727272,0.3575757575757576,0.1393939393939394,0.5164404947463114,0.3542760882761595,0.35750241825908463,0.32408059506316966,0.6226306625477896,0.6270505388951851
3,1,1.0613496932515338,1.0,0.8159509202453987,0.3558282208588957,0.09815950920245399,0.37423312883435583,0.04294478527607362,0.20245398773006135,0.3619631901840491,0.20245398773006135,0.06748466257668712,0.19631901840490798,0.06134969325153374,0.36809815950920244,0.17177914110429449,0.50211845409378,0.32261569451969485,0.3424653080438753,0.33421385655859104,0.6023518163473467,0.6107867369392678
4,1,1.0067114093959733,1.0,0.8657718120805369,0.3624161073825503,0.06040268456375839,0.3624161073825503,0.040268456375838924,0.19463087248322147,0.3691275167785235,0.18791946308724833,0.0738255033557047,0.19463087248322147,0.0738255033557047,0.3288590604026846,0.12080536912751678,0.5037433754461017,0.3559032651254835,0.35560211308599676,0.2920578019977264,0.6004490213757068,0.5972110797913108
5,1,1.0909090909090908,1.0,0.8484848484848485,0.3575757575757576,0.09090909090909091,0.38181818181818183,0.04242424242424243,0.21212121212121213,0.37575757575757573,0.19393939393939394,0.05454545454545454,0.18787878787878787,0.05454545454545454,0.38181818181818183,0.20606060606060606,0.5114344008899198,0.33626056971077434,0.3473789916476772,0.334684986991361,0.6148056781085439,0.6191120781652287
6,1,0.978021978021978,1.0,0.7582417582417582,0.3626373626373626,0.0989010989010989,0.35714285714285715,0.04945054945054945,0.2087912087912088,0.34065934065934067,0.18681318681318682,0.06593406593406594,0.1813186813186813,0.06593406593406594,0.3626373626373626,0.10989010989010989,0.4798849359149787,0.3078649622583034,0.3248724952849422,0.29388988507711067,0.554232623970524,0.554508844021617
7,1,1.0053191489361701,1.0,0.8297872340425532,0.4095744680851064,0.11170212765957446,0.4148936170212766,0.05851063829787234,0.21808510638297873,0.39361702127659576,0.18617021276595744,0.047872340425531915,0.18085106382978725,0.0425531914893617,0.32978723404255317,0.14893617021276595,0.4955685177418683,0.3436649201775518,0.3364261526965148,0.3100034283237907,0.5966947804746763,0.5967053964705309
8,2,1.032,1.0,0.696,0.344,0.144,0.368,0.048,0.176,0.328,0.192,0.056,0.192,0.056,0.416,0.12,0.445680982068764,0.269181960579149,0.2787004773038303,0.30666586553840597,0.5115533120908425,0.5215682676100779
9,2,1.079136690647482,1.0,0.8920863309352518,0.37410071942446044,0.10071942446043165,0.381294964028777,0.03597122302158273,0.19424460431654678,0.37410071942446044,0.19424460431654678,0.05755395683453238,0.19424460431654678,0.05755395683453238,0.4172661870503597,0.1366906474820144,0.4784951524202784,0.3340993271245443,0.34274861376144405,0.3278833104182353,0.6117110806616042,0.6195726284592854
